tick,tick_diff,moving_avg,last_digit
2182.317,0.12600000000020373,2182.200333333333,7
2182.395,0.07799999999997453,2182.301,5
2182.278,-0.11700000000018917,2182.33,8
2182.165,-0.11299999999982901,2182.2793333333334,5
2182.287,0.12199999999984357,2182.2433333333333,7
2182.157,-0.1299999999996544,2182.203,7
2182.051,-0.10600000000022192,2182.165,1
2182.103,0.052000000000134605,2182.103666666667,3
2181.929,-0.17399999999997817,2182.027666666667,9
2181.618,-0.31100000000014916,2181.883333333333,8
2181.32,-0.29799999999977445,2181.6223333333332,2
2181.302,-0.018000000000029104,2181.4133333333334,2
2181.38,0.07799999999997453,2181.3340000000003,8
2181.347,-0.032999999999901775,2181.3430000000003,7
2181.358,0.010999999999967258,2181.361666666667,8
2181.522,0.1639999999997599,2181.409,2
2181.387,-0.13499999999976353,2181.4223333333334,7
2181.309,-0.07799999999997453,2181.4060000000004,9
2181.282,-0.027000000000043656,2181.3260000000005,2
2181.144,-0.1380000000003747,2181.245,4
2181.131,-0.012999999999919964,2181.1856666666663,1
2180.999,-0.13200000000006185,2181.0913333333333,9
2181.129,0.13000000000010914,2181.086333333333,9
2181.104,-0.02500000000009095,2181.077333333333,4
2181.175,0.07100000000036744,2181.136,5
2181.159,-0.016000000000076398,2181.146,9
2181.029,-0.13000000000010914,2181.121,9
2181.169,0.13999999999987267,2181.119,9
2181.047,-0.12199999999984357,2181.081666666667,7
2180.974,-0.0729999999998654,2181.0633333333335,4
2181.051,0.07699999999977081,2181.024,1
2180.791,-0.25999999999976353,2180.9386666666664,1
2180.804,0.012999999999919964,2180.882,4
2180.661,-0.1430000000000291,2180.752,1
2180.562,-0.09900000000016007,2180.6756666666665,2
