tick,tick_diff,moving_avg,last_digit
6460.5,0.09900000000016007,6460.378333333334,5
6460.455,-0.04500000000007276,6460.452,5
6460.304,-0.15099999999983993,6460.419666666666,4
6460.363,0.05900000000019645,6460.374,3
6460.643,0.27999999999974534,6460.436666666667,3
6460.461,-0.181999999999789,6460.4890000000005,1
6460.352,-0.10900000000037835,6460.485333333333,2
6460.221,-0.13100000000031287,6460.344666666667,1
6460.574,0.3530000000000655,6460.382333333332,4
6460.612,0.03800000000046566,6460.469,2
6460.534,-0.07800000000042928,6460.573333333333,4
6460.472,-0.06199999999989814,6460.539333333333,2
6460.203,-0.26899999999932334,6460.402999999999,3
6460.032,-0.1710000000002765,6460.2356666666665,2
6460.188,0.15599999999994907,6460.1410000000005,8
6460.335,0.14699999999993452,6460.185,5
6460.487,0.15200000000004366,6460.336666666667,7
6460.518,0.03099999999994907,6460.446666666667,8
6460.479,-0.03899999999975989,6460.4946666666665,9
6460.509,0.02999999999974534,6460.502,9
6460.477,-0.032000000000152795,6460.488333333334,7
6460.215,-0.26199999999971624,6460.400333333334,5
6460.275,0.05999999999949068,6460.3223333333335,5
6460.202,-0.07299999999941065,6460.230666666667,2
6460.204,0.001999999999497959,6460.227,4
6460.034,-0.17000000000007276,6460.1466666666665,4
6460.107,0.07300000000032014,6460.115000000001,7
6460.221,0.113999999999578,6460.120666666667,1
6460.08,-0.14099999999962165,6460.1359999999995,8
6460.266,0.1859999999996944,6460.188999999999,6
6460.12,-0.1459999999997308,6460.155333333333,2
6460.185,0.06500000000050932,6460.190333333333,5
6460.077,-0.10800000000017462,6460.127333333334,7
6460.033,-0.04399999999986903,6460.098333333334,3
6459.942,-0.09100000000034925,6460.017333333333,2
