timestamp,tick,last_digit,volatility,trend,volatility_measure
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,8,8,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,8,8,3,2,8
2024-08-14 15:58:13.637671,4,4,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,7,7,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.637671,7,7,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,7,7,3,2,8
2024-08-14 15:58:13.637671,7,7,3,2,8
2024-08-14 15:58:13.637671,4,4,3,2,8
2024-08-14 15:58:13.637671,8,8,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,7,7,3,2,8
2024-08-14 15:58:13.637671,8,8,3,2,8
2024-08-14 15:58:13.637671,5,5,3,2,8
2024-08-14 15:58:13.637671,4,4,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,7,7,3,2,8
2024-08-14 15:58:13.637671,4,4,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,1,1,3,2,8
2024-08-14 15:58:13.637671,6,6,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,2,2,3,2,8
2024-08-14 15:58:13.637671,3,3,3,2,8
2024-08-14 15:58:13.637671,9,9,3,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,1,1,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,7,7,2,2,8
2024-08-14 15:58:13.774576,5,5,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,5,5,2,2,8
2024-08-14 15:58:13.774576,7,7,2,2,8
2024-08-14 15:58:13.774576,5,5,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,5,5,2,2,8
2024-08-14 15:58:13.774576,5,5,2,2,8
2024-08-14 15:58:13.774576,2,2,2,2,8
2024-08-14 15:58:13.774576,8,8,2,2,8
2024-08-14 15:58:13.774576,5,5,2,2,8
2024-08-14 15:58:13.774576,1,1,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,8,8,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,9,9,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,2,2,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,7,7,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,3,3,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,4,4,2,2,8
2024-08-14 15:58:13.774576,7,7,2,2,8
2024-08-14 15:58:13.774576,1,1,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,1,1,2,2,8
2024-08-14 15:58:13.774576,1,1,2,2,8
2024-08-14 15:58:13.774576,6,6,2,2,8
2024-08-14 15:58:13.774576,7,7,2,2,8
